TP size,EXP ID,Rank,device type,dtype,ffn hidden size,hidden size,max position embedding,micro batch size,num attention heads,num layers,num query groups,recompute granularity,sequence length,vocab size,Peak GPU memory,TFLOP/s/GPU,elapsed time per iteration
1,exp20251226_064550,0,v100,fp16,11008,4096,4096,4,4,2,4,selective,2048,32000,11705,57.4663,473.098
1,exp20251226_064616,0,v100,fp16,11008,4096,4096,4,4,2,4,null,2048,32000,11693,58.4381,465.23
4,exp20251226_064642,0,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-1,1024,32000,3025,8.61578,194.415
4,exp20251226_064642,1,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-1,1024,32000,3025,8.616,194.41
4,exp20251226_064642,2,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-1,1024,32000,3025,8.61785,194.368
4,exp20251226_064642,3,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-1,1024,32000,3025,8.61448,194.444
4,exp20251226_064709,0,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-2,1024,32000,3043,8.5075,196.889
4,exp20251226_064709,1,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-2,1024,32000,3043,8.50967,196.839
4,exp20251226_064709,2,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-2,1024,32000,3043,8.50968,196.839
4,exp20251226_064709,3,v100,fp16,11008,4096,4096,2,16,2,16,full-uniform-2,1024,32000,3043,8.51252,196.773
4,exp20251226_064735,0,v100,fp16,11008,4096,4096,2,16,2,16,full-block-1,1024,32000,3047,9.8066,170.807
4,exp20251226_064735,1,v100,fp16,11008,4096,4096,2,16,2,16,full-block-1,1024,32000,3047,9.80664,170.806
4,exp20251226_064735,2,v100,fp16,11008,4096,4096,2,16,2,16,full-block-1,1024,32000,3047,9.80666,170.806
4,exp20251226_064735,3,v100,fp16,11008,4096,4096,2,16,2,16,full-block-1,1024,32000,3047,9.80661,170.807
4,exp20251226_064802,0,v100,fp16,11008,4096,4096,2,16,2,16,full-block-2,1024,32000,3025,8.87237,188.792
4,exp20251226_064802,1,v100,fp16,11008,4096,4096,2,16,2,16,full-block-2,1024,32000,3025,8.87237,188.792
4,exp20251226_064802,2,v100,fp16,11008,4096,4096,2,16,2,16,full-block-2,1024,32000,3025,8.87067,188.829
4,exp20251226_064802,3,v100,fp16,11008,4096,4096,2,16,2,16,full-block-2,1024,32000,3025,8.87624,188.71
4,exp20251226_064828,0,v100,fp16,11008,4096,4096,2,16,2,16,selective,1024,32000,3091,10.3639,161.623
4,exp20251226_064828,1,v100,fp16,11008,4096,4096,2,16,2,16,selective,1024,32000,3091,10.364,161.62
4,exp20251226_064828,2,v100,fp16,11008,4096,4096,2,16,2,16,selective,1024,32000,3091,10.3635,161.628
4,exp20251226_064828,3,v100,fp16,11008,4096,4096,2,16,2,16,selective,1024,32000,3091,10.3609,161.67
4,exp20251226_064855,0,v100,fp16,11008,4096,4096,2,16,2,16,null,1024,32000,3095,10.8956,153.735
4,exp20251226_064855,1,v100,fp16,11008,4096,4096,2,16,2,16,null,1024,32000,3095,10.8966,153.721
4,exp20251226_064855,2,v100,fp16,11008,4096,4096,2,16,2,16,null,1024,32000,3095,10.8957,153.733
4,exp20251226_064855,3,v100,fp16,11008,4096,4096,2,16,2,16,null,1024,32000,3095,10.8976,153.707
2,exp20251226_064922,0,v100,fp16,11008,4096,8192,4,32,2,32,full-uniform-1,1024,32000,5017,23.6746,283.01
2,exp20251226_064922,1,v100,fp16,11008,4096,8192,4,32,2,32,full-uniform-1,1024,32000,5017,23.6708,283.056
2,exp20251226_064949,0,v100,fp16,11008,4096,8192,4,32,2,32,full-uniform-2,1024,32000,5017,22.7419,294.617
2,exp20251226_064949,1,v100,fp16,11008,4096,8192,4,32,2,32,full-uniform-2,1024,32000,5017,22.7425,294.609
2,exp20251226_065015,0,v100,fp16,11008,4096,8192,4,32,2,32,full-block-1,1024,32000,5033,26.0696,257.01
2,exp20251226_065015,1,v100,fp16,11008,4096,8192,4,32,2,32,full-block-1,1024,32000,5033,26.061,257.095
2,exp20251226_065042,0,v100,fp16,11008,4096,8192,4,32,2,32,full-block-2,1024,32000,5017,23.5444,284.575
2,exp20251226_065042,1,v100,fp16,11008,4096,8192,4,32,2,32,full-block-2,1024,32000,5017,23.5416,284.609
2,exp20251226_065108,0,v100,fp16,11008,4096,8192,4,32,2,32,selective,1024,32000,5043,29.1962,229.487
2,exp20251226_065108,1,v100,fp16,11008,4096,8192,4,32,2,32,selective,1024,32000,5043,29.1957,229.491
2,exp20251226_065135,0,v100,fp16,11008,4096,8192,4,32,2,32,null,1024,32000,5075,29.2929,228.73
2,exp20251226_065135,1,v100,fp16,11008,4096,8192,4,32,2,32,null,1024,32000,5075,29.3118,228.582
1,exp20251226_065202,0,v100,fp16,11008,4096,8192,4,4,1,4,full-uniform-1,2048,32000,8461,45.9203,366.454
1,exp20251226_065228,0,v100,fp16,11008,4096,8192,4,4,1,4,full-block-1,2048,32000,8461,46.0981,365.041
1,exp20251226_065255,0,v100,fp16,11008,4096,8192,4,4,1,4,selective,2048,32000,8963,53.426,314.972
1,exp20251226_065321,0,v100,fp16,11008,4096,8192,4,4,1,4,null,2048,32000,8963,52.3606,321.381
2,exp20251226_065347,0,v100,fp16,11008,4096,2048,2,8,2,8,full-uniform-1,1024,32000,4987,18.395,182.119
2,exp20251226_065347,1,v100,fp16,11008,4096,2048,2,8,2,8,full-uniform-1,1024,32000,4987,18.3897,182.171
2,exp20251226_065409,0,v100,fp16,11008,4096,2048,2,8,2,8,full-uniform-2,1024,32000,5007,19.0471,175.884
2,exp20251226_065409,1,v100,fp16,11008,4096,2048,2,8,2,8,full-uniform-2,1024,32000,5007,19.0422,175.929
2,exp20251226_065430,0,v100,fp16,11008,4096,2048,2,8,2,8,full-block-1,1024,32000,5027,20.8282,160.843
2,exp20251226_065430,1,v100,fp16,11008,4096,2048,2,8,2,8,full-block-1,1024,32000,5027,20.8219,160.892
2,exp20251226_065452,0,v100,fp16,11008,4096,2048,2,8,2,8,full-block-2,1024,32000,4987,18.872,177.516
2,exp20251226_065452,1,v100,fp16,11008,4096,2048,2,8,2,8,full-block-2,1024,32000,4987,18.8782,177.457
2,exp20251226_065518,0,v100,fp16,11008,4096,2048,2,8,2,8,selective,1024,32000,5031,22.8084,146.879
2,exp20251226_065518,1,v100,fp16,11008,4096,2048,2,8,2,8,selective,1024,32000,5031,22.7697,147.128
2,exp20251226_065540,0,v100,fp16,11008,4096,2048,2,8,2,8,null,1024,32000,5031,23.4075,143.12
2,exp20251226_065540,1,v100,fp16,11008,4096,2048,2,8,2,8,null,1024,32000,5031,23.4215,143.034
1,exp20251226_065605,0,v100,fp16,11008,4096,4096,4,1,2,1,full-uniform-1,2048,32000,10859,47.1683,576.385
1,exp20251226_065632,0,v100,fp16,11008,4096,4096,4,1,2,1,full-uniform-2,2048,32000,10859,47.4112,573.433
1,exp20251226_065658,0,v100,fp16,11008,4096,4096,4,1,2,1,full-block-1,2048,32000,10859,51.9434,523.399
1,exp20251226_065725,0,v100,fp16,11008,4096,4096,4,1,2,1,full-block-2,2048,32000,10859,46.8922,579.779
1,exp20251226_065750,0,v100,fp16,11008,4096,4096,4,1,2,1,selective,2048,32000,11441,57.3401,474.139
1,exp20251226_065817,0,v100,fp16,11008,4096,4096,4,1,2,1,null,2048,32000,11441,58.1607,467.448
2,exp20251226_065842,0,v100,fp16,11008,4096,8192,4,8,1,8,full-uniform-1,1024,32000,3833,22.6954,183.377
2,exp20251226_065842,1,v100,fp16,11008,4096,8192,4,8,1,8,full-uniform-1,1024,32000,3833,22.6942,183.387
2,exp20251226_065909,0,v100,fp16,11008,4096,8192,4,8,1,8,full-block-1,1024,32000,3833,22.9707,181.18
2,exp20251226_065909,1,v100,fp16,11008,4096,8192,4,8,1,8,full-block-1,1024,32000,3833,22.9665,181.212
2,exp20251226_065935,0,v100,fp16,11008,4096,8192,4,8,1,8,selective,1024,32000,3841,26.7893,155.354
2,exp20251226_065935,1,v100,fp16,11008,4096,8192,4,8,1,8,selective,1024,32000,3841,26.7894,155.353
2,exp20251226_070001,0,v100,fp16,11008,4096,8192,4,8,1,8,null,1024,32000,3841,26.7565,155.545
2,exp20251226_070001,1,v100,fp16,11008,4096,8192,4,8,1,8,null,1024,32000,3841,26.7369,155.658
4,exp20251226_070025,0,v100,fp16,11008,4096,8192,2,32,2,32,full-uniform-1,1024,32000,3021,8.54619,195.998
4,exp20251226_070025,1,v100,fp16,11008,4096,8192,2,32,2,32,full-uniform-1,1024,32000,3021,8.54631,195.995
4,exp20251226_070025,2,v100,fp16,11008,4096,8192,2,32,2,32,full-uniform-1,1024,32000,3021,8.54741,195.97
4,exp20251226_070025,3,v100,fp16,11008,4096,8192,2,32,2,32,full-uniform-1,1024,32000,3021,8.54387,196.051
4,exp20251226_070051,0,v100,fp16,11008,4096,8192,2,32,2,32,full-uniform-2,1024,32000,3021,8.90114,188.182
4,exp20251226_070051,1,v100,fp16,11008,4096,8192,2,32,2,32,full-uniform-2,1024,32000,3021,8.90148,188.175
4,exp20251226_070051,2,v100,fp16,11008,4096,8192,2,32,2,32,full-uniform-2,1024,32000,3021,8.90175,188.169
